institution,year,bubble_score
TU Wien,2018,0.8667
TU Wien,2019,0.7241
TU Wien,2020,0.7302
TU Wien,2021,0.75
TU Wien,2022,0.6818
TU Wien,2023,0.6154
TU Wien,2024,0.7493
TU Wien,2025,0.7536
ETH Zurich,2018,0.8077
ETH Zurich,2019,0.791
ETH Zurich,2020,0.7097
ETH Zurich,2021,0.8043
ETH Zurich,2022,0.5833
ETH Zurich,2023,0.35
ETH Zurich,2024,0.6667
ETH Zurich,2025,0.6624
TU Berlin,2018,0.8462
TU Berlin,2019,0.8718
TU Berlin,2020,0.8736
TU Berlin,2021,0.88
TU Berlin,2022,0.9367
TU Berlin,2023,0.7073
TU Berlin,2024,0.7905
TU Berlin,2025,0.8341
